,Num. Exp,Objeto Contrato,Organismo,Tipo de Contrato,Tipo Tramitación,Fecha Aprobación,Fecha Inicio,Importe,Causa/Justificación
0,ALC-CONT-114/18,INSTALACIONES CIUDAD DEPORTIVA (IFS 2018),"SERVICIO DE INFRAESTRUCTURAS, MANTENIMIENTO, PLAZA DE TOROS",Obras,Ordinario,2019-08-13 00:00:00,2019-08-06,0,Ampliación plazo en 28 días naturales para redistribución de la planta e instalaciones.
1,ALC-CONT-116/18,INFRAESTRUCTURAS LIBRE-VERDE DEPORTIVAS (IFS 2018),"SERVICIO DE INFRAESTRUCTURAS, MANTENIMIENTO, PLAZA DE TOROS",Obras,Ordinario,2019-11-05 00:00:00,2019-11-25,0,Ampliación plazo hasta 15/12/19 por daños causados por el temporal DANA
2,ALC-CONT-17/2019,Obras fabrica Tabacos-EDUSI-FEDER,URBANISMO,Obras,Ordinario,2019-12-17 00:00:00,2019-11-28,0,Ampliación plazo en 30 días por daños causados por el temporal DANA
3,81/18,Traslado Torre Placia,SERVICIO DE GESTIÓN PATRIMONIAL,Obras,Ordinario,2020-03-17 00:00:00,2020-01-13,0,Solicitud de ampliacion del plazo de ejecución debido a un retraso en las autorizaciones preceptivas para las investigaciones arqueológicas. Ampliación plazo hasta el 14/02/2020
4,ALC-CONT-114/18,INSTALACIONES CIUDAD DEPORTIVA (IFS 2018),"SERVICIO DE INFRAESTRUCTURAS, MANTENIMIENTO, PLAZA DE TOROS",Obras,Ordinario,2019-08-13 00:00:00,2020-01-14,0,"Ampliacion plazo en 28 días naturales, hasta el 29/08/2019 para rediseñar la totalidad de la planta de pista de fútbol y atletismo."
5,ALC-CONT-124/18,Acondicionamiento entorno de La Isleta,URBANISMO,Obras,Ordinario,2019-11-05 00:00:00,2020-01-14,0,Ampliación plazo hasta el 4/12/2019 debido a lluvias acaecidas con cierta intensidad.
6,ALC-CONT-16/2019,Mejora accesibilidad C/ Poeta Zorrilla,URBANISMO,Obras,Ordinario,2019-12-17 00:00:00,2020-01-21,0,Ampliación plazo en 15 días hasta el 30/12/19 para poder terminar trabajos de urbanización una vez finalizados los trabajos de reposición de aguas.
7,58/19,Urb. Parcela C/ Aucuba Madroño. La Cañada Fenollar,URBANISMO,Obras,Ordinario,2020-03-31 00:00:00,2020-03-10,0,"Ampliación del plazo debido a la demora en el inicio de la obra, la demora por parte de ibedrola en la aprobaciónd el aproyecto de canalización y las precipitaciones de los días 21 a 23 de enero. "
8,ALC-CONT-22/2019,Obras zona verde Avda. PP Escandinavos,"SERVICIO DE INFRAESTRUCTURAS, MANTENIMIENTO, PLAZA DE TOROS",Obras,Ordinario,2020-03-17 00:00:00,2020-04-28,0,Ampliación del plazo de ejecución debido a la DANA de los días 19 y 21 de enero de 2020.
9,ALC-CONT-14/2019,Recuperación arquitectónica castillo San Fernando,SERVICIO DE CULTURA,Obras,Ordinario,2020-07-28 00:00:00,2020-05-20,0,retraso en la ejecución debido a la aplicación de los protocolos sanitarios y actos vándalicos.
10,ALC-CONT-19/2019,Rehabilitación del Skatepark Monte Tossal,URBANISMO,Obras,Ordinario,2020-06-23 00:00:00,2020-06-25,0,Ampliación plazo de ejecución debido a la paralización por la pandemia del COVID-19.
11,42/19,Comunicación y promoción Hosteleria y Comercio,DEPARTAMENTO DE COMERCIO Y HOSTELERÍA,Servicios,Ordinario,2020-07-28 00:00:00,2020-07-02,0,Variación en las prestaciones  objeto del contrato como consecuencia de la pandemia del COVID-19 sin variar el importe ni duración contrato
12,49/19,Obras mejoras zonas verdes Barranco ovejas,URBANISMO,Obras,Ordinario,2020-07-21 00:00:00,2020-07-20,0,"Ampliación del plazo de ejecución de las obras (5 semanas, hasta 26/08/2020) por contratiempos (barandilla y gestión de residuos) que suponen documentación y tramitación demorando las obras."
13,52/19,Acondicionamiento Plaza Viña,URBANISMO,Obras,Ordinario,2020-09-08 00:00:00,2020-08-13,90027.52 €,"Modificado de proyecto en importe, que no supone ampliación de plazo"
14,45/19,Urbanizacion plaza Justicia,URBANISMO,Obras,Ordinario,2020-09-08 00:00:00,2020-08-13,116454.24 €,"Modificado de proyecto en importe, que no supone ampliación de plazo"
15,35/19,Señalización vertical y horizonal ciudad,"SERVICIO TRÁFICO, TRANSPORTES, MOVILIDAD Y ACCESIBILIDAD",Servicios,Urgente,2020-09-22 00:00:00,2020-09-23,0,Ampliación de plazo para instalación de sistema informático de gestión del servicio hasta 13/10/20 por causa del estado de alarma
16,88/19,"Adecuacion 2 locales C/ Sargento Vaillo, 2 lotes","SERVICIO DE INFRAESTRUCTURAS, MANTENIMIENTO, PLAZA DE TOROS",Obras,Ordinario,2020-10-27 00:00:00,2020-10-01,0,Ampiación del plazo de ejecución de las obras Lote 2 por autorización de permisos (demora por denuncia de un vecino de la comunidad)
17,88/19,"Adecuacion 2 locales C/ Sargento Vaillo, LOTE 2","SERVICIO DE INFRAESTRUCTURAS, MANTENIMIENTO, PLAZA DE TOROS",Obras,Ordinario,2020-10-27 00:00:00,2020-10-01,0,"Ampliación plazo en 21 días, hasta el 15/11/20, por retrasos en ejecución obras por causas imprevistas."
18,31/19,Erosion-adecuac. espacio forestal degradad Tossal,"SERVICIO DE INFRAESTRUCTURAS, MANTENIMIENTO, PLAZA DE TOROS",Obras,Ordinario,2020-10-13 00:00:00,2020-10-13,0,Ampiación del plazo de ejecución de las obras hasta 11/12/20 por  decreto Covid y por época en la plantación no apta para riego.
19,134/19,Incremento plazas aparcamiento P.I. Las Atalayas ,URBANISMO,Obras,Ordinario,2020-10-20 00:00:00,2020-10-13,0,Ampliación del plazo debido a circusntancias imprevisibles para el contratista.
20,ALC-CONT-12/2019,Pasos elevados ferrocarril (Emergencia),"SERVICIO DE INFRAESTRUCTURAS, MANTENIMIENTO, PLAZA DE TOROS",Obras,Emergencia,2020-10-27 00:00:00,2020-10-22,0,Ampiación del plazo de ejecución de las obras (15 semanas) por demora en autorizaciones y nuevo estudio de la estructura.
21,75/19,Sábado Ramblero y Fiesta Fin Año 2020-2021,SERVICIO DE FIESTAS Y OCUPACIÓN DE VÍA PÚBLICA,Privado,Ordinario,2020-11-24 00:00:00,2020-11-05,0.-,COVID-19 ( Modificación del plazo de ejecución del contrato lote C)
22,70/19,Actividades Prevención Conductas Adictivas ,SERVICIO DE EDUCACIÓN,Servicios,Ordinario,2020-12-09 00:00:00,2020-11-09,0,COVID-19 ( modificación de la fecha de duración del contrato) lote 3
23,78/19,Acondicionamiento Plaza Progreso,URBANISMO,Obras,Ordinario,2020-12-01 00:00:00,2020-11-11,91281.72 €,"Modificación contrato: Tras reiteradas peticiones de los vecinos para que se solucione el problema del pavimento de la Plaza del Progreso en el barrio Tómbola, debido sobre todo al empuje de las raíces de los árboles."
24,30/20,Obras emergencia recuperación playa Postiguet,SERVICIO DE LIMPIEZA Y RECOGIDA DE RESIDUOS,Obras,Emergencia,2020-12-01 00:00:00,2020-11-13,62197.96 €,Modificado contrato: El proyecto original no incluía la aportación de materiales de relleno. También se vio necesario disponer de un sistema de reducción de olores que afecta a los comercios cercanos y los vecinos
25,70/19,Actividades Prevención Conductas Adictivas ,SERVICIO DE EDUCACIÓN,Servicios,Ordinario,2020-12-09 00:00:00,2020-11-19,1077.5 €,"COVID-19, se incrementan en un 10% el importe del contrato al incrementarse el nº de sesiones ( lote nº 8)"
26,127/19,Renovacion paisajistica Plaza Castellón,"SERVICIO DE INFRAESTRUCTURAS, MANTENIMIENTO, PLAZA DE TOROS",Obras,Ordinario,2020-12-22 00:00:00,2020-11-20,0,Se amplía el plazo de ejecución como consecuencia de situaciones excepciones (rebrote covid19 posterior a la epoca estival y Fugas de agua por averías en la red)
27,117/19,Obras baluarte mina castillo Sta Barbara,SERVICIO DE CULTURA,Obras,Ordinario,2020-12-22 00:00:00,2020-11-25,0,La atramitación de residuos de materiales peligrosos ha supueto una interrupción de los trabajos durante 2 meses y habiendo transcurridos casi 4 meses de obra por la aparición de hallazgos arqueológicos de importancia.
28,31/19,Erosion-adecuac. espacio forestal degradad Tossal,"SERVICIO DE INFRAESTRUCTURAS, MANTENIMIENTO, PLAZA DE TOROS",Obras,Ordinario,2020-12-15 00:00:00,2020-12-02,188711.23 €,"Modificación contrato en importe, que no supone aumento del plazo de ejecución. Circunstancias no previstas inicialmente y que han surgido durante la ejecución de las obras, exponiendo los motivos y argumentos en la redacción del proyecto modificado."
29,75/19,Sábado Ramblero y Fiesta Fin Año 2020-2021,SERVICIO DE FIESTAS Y OCUPACIÓN DE VÍA PÚBLICA,Privado,Ordinario,-,2021-01-21,0,"prohibición de realizar eventos  en el año 2021 como consecuencia del covid , por lo que se amplía plazo de ejecución contrato en un año ( lote A)"
30,,,,,,,,,
31,,,,,Page 1 / 1,,,,
