,Num. Exp,Objeto Contrato,Organismo,Tipo de Contrato,Tipo Tramitación,Fecha Aprobación,Fecha Inicio,Fecha Fin Prórroga,Importe,Razón Social Adjudicatario/Contratista,Año
0,"10/2015
", GESTIÓN DEL SERVICIO MUNICIPAL DE AYUDA A DOMICILIO (S.A.D.) ,ACCIÓN SOCIAL ,Gestión de Servicios públicos ,"Ordinaria
","17/12/2012
","01/01/2013
","31/12/2013
","569.181,00
","SERVISAR, Servicios Sociales, S.L. 
",2015
1,"10/2015
", GESTIÓN DEL SERVICIO MUNICIPAL DE AYUDA A DOMICILIO (S.A.D.) ,ACCIÓN SOCIAL ,Gestión de Servicios públicos ,"Ordinaria
","23/12/2013
","01/01/2014
","31/12/2015
","604.438,37
","SERVISAR, Servicios Sociales, S.L. 
",2015
2,"10/2015
", GESTIÓN DEL SERVICIO MUNICIPAL DE AYUDA A DOMICILIO (S.A.D.) ,ACCIÓN SOCIAL ,Gestión de Servicios públicos ,"Ordinaria
","15/12/2015
","01/01/2016
","31/12/2016
","2.529.446,40
","SERVISAR, Servicios Sociales, S.L. 
",2015
3,"11/2015
", SERVICIO MUNICIPAL DE ESTANCIAS DIURNAS ,ACCIÓN SOCIAL ,Gestión de Servicios públicos ,"Ordinaria
","27/12/2011
","01/01/2012
","31/12/2013
","690.578,44
","Alfis 31, S.L. 
",2015
4,"11/2015
", SERVICIO MUNICIPAL DE ESTANCIAS DIURNAS ,ACCIÓN SOCIAL ,Gestión de Servicios públicos ,"Ordinaria
","23/12/2013
","01/01/2014
","31/12/2015
", ,"Alfis 31, S.L. 
",2015
5,"9/2015
", EXPLOTACIÓN INTEGRAL DE LA SEÑALIZACIÓN HORIZONTAL Y VERTICAL DE LA CIUDAD. ,"TRÁFICO, TRANSPORTES Y COMUNICACIONES ",Servicios ,"Ordinaria
","01/04/2015
",0,"14/09/2017
","2.524.366,04
","ACEINSA Movilidad, S.A.
",2015
6,"4/2015
", ADJUDICACION DEL CONTRATO DE VISITAS GUIADAS AL CASTILLO DE SANTA BARBARA Y MUSEO DE LA CIUDAD DE ALICANTE ,CULTURA ,Especiales ,"Ordinaria
","03/02/2015
","18/04/2015
","30/09/2015
","908,21
","Esatur XXI, S.L.
",2015
7,"105/2015
", INSTALACIÓN Y EXPLOTACIÓN DE DOS MÁQUINAS EXPENDEDORAS DE BEBIDAS Y ALIMENTOS SÓLIDOS EN EL CENTRO CULTURAL LAS CIGARRERAS. ,CULTURA ,Otros ,"Ordinaria
","16/07/2014
","25/07/2014
","25/07/2015
","750,75
", ,2015
8,"105/2015
", INSTALACIÓN Y EXPLOTACIÓN DE DOS MÁQUINAS EXPENDEDORAS DE BEBIDAS Y ALIMENTOS SÓLIDOS EN EL CENTRO CULTURAL LAS CIGARRERAS. ,CULTURA ,Otros ,"Ordinaria
","22/07/2015
","26/07/2015
","25/07/2016
", , ,2015
9,"61/2015
", MANTENIMIENTO DEL PARQUE MICROINFORMÁTICO MUNICIPAL ,MODERNIZACIÓN ,Servicios ,"Ordinaria
","30/06/2014
","01/10/2014
","30/09/2015
","77.097,86
","METAENLACE SISTEMAS DE INFORMACION, S.L.
",2015
10,"61/2015
", MANTENIMIENTO DEL PARQUE MICROINFORMÁTICO MUNICIPAL ,MODERNIZACIÓN ,Servicios ,"Ordinaria
","07/08/2015
","01/10/2014
","30/09/2015
","63.374,32
","METAENLACE SISTEMAS DE INFORMACION, S.L.
",2015
11,"3/2015
", CONCESIÓN DEL SERVICIO DE TIENDA-LIBRERIA EN LA SALA HERRERÍA EN EL CASTILLO DE SANTA BÁRBARA ,CULTURA ,Otros ,"Ordinaria
","23/03/2015
","25/03/2015
","25/09/2015
","1.130,00
","CATAPULTAS S.L
",2015
12,"3/2015
", CONCESIÓN DEL SERVICIO DE TIENDA-LIBRERIA EN LA SALA HERRERÍA EN EL CASTILLO DE SANTA BÁRBARA ,CULTURA ,Otros ,"Ordinaria
","21/09/2015
","25/09/2015
","25/03/2016
","1.367,30
","CATAPULTAS S.L
",2015
13,"3/2015
", CONCESIÓN DEL SERVICIO DE TIENDA-LIBRERIA EN LA SALA HERRERÍA EN EL CASTILLO DE SANTA BÁRBARA ,CULTURA ,Otros ,"Ordinaria
","23/03/2015
","25/03/2015
","25/09/2015
","1.130,00
","CATAPULTAS S.L
",2015
