,Num. Exp,Objeto Contrato,Organismo,Tipo de Contrato,Tipo Tramitación,Fecha Aprobación,Fecha Inicio,Fecha Fin Prórroga,Importe,Razón Social Adjudicatario/Contratista
1,72/19,Suministros materiales didácticos ,SERVICIO DE EDUCACIÓN,Suministros,Ordinario,2021-02-09 00:00:00.0,2021-01-18 00:00:00.0,2022-02-16 00:00:00.0,18515.84,
2,47/19,Semana Europea de la Movilidad 2019-2020,"SERVICIO TRÁFICO, TRANSPORTES, MOVILIDAD Y ACCESIBILIDAD",Servicios,Ordinario,2021-04-13 00:00:00.0,2021-03-22 00:00:00.0,2022-09-13 00:00:00.0,33262.9,
3,12/20,Proyecto Intervención Mediación Etnia Gitana,SERVICIO DE ACCIÓN SOCIAL,Servicios,Ordinario,2021-06-22 00:00:00.0,2021-05-03 00:00:00.0,2022-10-08 00:00:00.0,19036.17,
4,02/20,Gatos de colonias callejeras,SERVICIO DE SANIDAD Y PROTECCIÓN ANIMAL,Servicios,Ordinario,2021-06-08 00:00:00.0,2021-05-05 00:00:00.0,2022-08-16 00:00:00.0,14943.0,
5,31/20,Gestión alojamiento viviendas semituteladas ,SERVICIO DE ACCIÓN SOCIAL,Servicios,Urgente,-,2021-05-17 00:00:00.0,2022-11-22 00:00:00.0,315726.35,
6,56/19,Mantenimiento Parque Microinformático,"SERVICIO DE NUEVAS TECNOLOGÍAS, INNOVACIÓN E INFORMÁTICA",Servicios,Ordinario,2021-07-13 00:00:00.0,2021-05-21 00:00:00.0,2022-11-30 00:00:00.0,75504.0,
7,ALC-CONT-13/19,Suministro agua dependencias municipales.,SERVICIO DE ECONOMÍA Y HACIENDA,Suministros,Ordinario,2021-08-03 00:00:00,2021-06-28 00:00:00.0,2022-09-17 00:00:00.0,19993.6,
8,28/19,Suministro material trabajos mantenimiento 4 lotes,"SERVICIO DE INFRAESTRUCTURAS, MANTENIMIENTO, PLAZA DE TOROS",Suministros,Ordinario,2021-11-23 00:00:00.0,2021-09-08 00:00:00.0,2023-01-06 00:00:00.0,193600.0,
9,59/20,Material deportivo inventariable para C. Deportes,SERVICIO DE DEPORTES,Suministros,Ordinario,2021-11-10 00:00:00.0,2021-10-13 00:00:00.0,2023-03-24 00:00:00.0,39990.5,
10,70/19-7,Actividades Prevención Conductas Adictivas  LOTE 7,SERVICIO DE EDUCACIÓN,Servicios,Ordinario,2021-11-23 00:00:00.0,2021-10-29 00:00:00.0,2022-12-31 00:00:00.0,5175.0,
11,70/19-3,Actividades Prevención Conductas Adictivas  LOTE 3,SERVICIO DE EDUCACIÓN,Servicios,Ordinario,2021-11-23 00:00:00.0,2021-11-02 00:00:00.0,2022-12-31 00:00:00.0,15300.0,
12,70/19-4,Actividades Prevención Conductas Adictivas  LOTE 4,SERVICIO DE EDUCACIÓN,Servicios,Ordinario,2021-11-23 00:00:00.0,2021-11-02 00:00:00.0,2022-12-31 00:00:00.0,23000.0,
13,70/19-6,Actividades Prevención Conductas Adictivas  LOTE 6,SERVICIO DE EDUCACIÓN,Servicios,Ordinario,2021-11-23 00:00:00.0,2021-11-03 00:00:00.0,2022-12-31 00:00:00.0,4080.0,
14,ALC-CONT-25/19,Mantenimiento instalaciones térmicas municipales,"SERVICIO DE INFRAESTRUCTURAS, MANTENIMIENTO, PLAZA DE TOROS",Servicios,Ordinario,2021-11-30 00:00:00.0,2021-11-03 00:00:00.0,2023-01-02 00:00:00.0,165229.08,
15,68/19,actividades formativas para familias,SERVICIO DE EDUCACIÓN,Servicios,Ordinario,-,2021-11-03 00:00:00.0,2022-12-31 00:00:00.0,40052.94,
16,70/19-8,Actividades Prevención Conductas Adictivas LOTE 8,SERVICIO DE EDUCACIÓN,Servicios,Ordinario,2021-11-23 00:00:00.0,2021-11-03 00:00:00.0,2022-12-31 00:00:00.0,11852.5,
17,ALC-CONT-25/19,Mantenimiento instalaciones térmicas municipales,"SERVICIO DE INFRAESTRUCTURAS, MANTENIMIENTO, PLAZA DE TOROS",Servicios,Ordinario,-,2021-11-10 00:00:00.0,2023-01-30 00:00:00.0,52030.0,
18,73/20,"Impresión, ensobrado y manipulado Rec. Tributaria",SERVICIO DE ECONOMÍA Y HACIENDA,Servicios,Ordinario,2021-11-30 00:00:00.0,2021-11-12 00:00:00.0,2022-12-31 00:00:00.0,54999.34,
19,75/20,Gestión taller habilidades socio-laborales básicas,SERVICIO DE ACCIÓN SOCIAL,Servicios,Ordinario,-,2021-11-23 00:00:00.0,2023-05-02 00:00:00.0,48202.02,
20,,,,,,,,,,
21,,,,,Page 1 / 1,,,,,
