,Num. Exp,Objeto Contrato,Organismo,Tipo de Contrato,Tipo Tramitación,Fecha Aprobación,Fecha Inicio,Fecha Fin Prórroga,Importe,Razón Social Adjudicatario/Contratista
1,75/20,Gestión taller habilidades socio-laborales básicas,NaN,Servicios,NaN,2022-03-08,NaN,2023-05-02,48202.02,"R0300400I - Obra Social Santa Luisa de Marillac-Hijas de la Caridad de San Vicente Paul, Prórroga de contrato"
2,72/19,Suministros materiales didácticos ,NaN,Suministros,NaN,2022-02-09,NaN,2022-02-16,18515.88,"B03358900 - INDUSTRIAS GRÁFICAS ALICANTE, S.L., Prórroga de contrato"
3,69/20,Asistencia Técnica Agenda Urbana 2030,NaN,Servicios,NaN,2022-03-22,NaN,2023-03-29,32300.95,"A48283964 - IDOM CONSULTING ENGINEERING ARCHITECTURE SAU, Prórroga de contrato"
4,107/19,Mantenimiento aplicaciones Genesys,NaN,Servicios,NaN,2022-04-26,NaN,2023-07-03,33841.88,"B83998740 - AUDIFILM CONSULTING, S.L.U., Prórroga de contrato"
5,63/19,Pólizas seguros 2020-2021,NaN,Servicios,NaN,2022-05-17,NaN,2023-05-31,547462.33,"A60917978 - AXA, Prórroga de contrato"
6,63/19,Pólizas seguros 2020-2021,NaN,Servicios,NaN,2022-05-17,NaN,2023-05-31,547462.33,"V07103419 - PREVISIÓN BALEAR MUTUA DE PREVISIÓN SOCIAL, Prórroga de contrato"
7,63/19,Pólizas seguros 2020-2021,NaN,Servicios,NaN,2022-05-17,NaN,2023-05-31,547462.33,"W0371455G - WR BERKLEY ESPAÑA SUCURSAL EN ESPAÑA, Prórroga de contrato"
8,63/19,Pólizas seguros 2020-2021,NaN,Servicios,NaN,2022-05-17,NaN,2023-05-31,547462.33,"A28007268 - GENERALI ESPAÑA, Prórroga de contrato"
9,63/19,Pólizas seguros 2020-2021,NaN,Servicios,NaN,2022-05-17,NaN,2023-05-31,547462.33,"W0069547H - LIBERTY MUTUAL INSURANCE EUROPE, SUCURSAL EN ESPAÑA, Prórroga de contrato"
10,63/19,Pólizas seguros 2020-2021,NaN,Servicios,NaN,2022-05-17,NaN,2023-05-31,547462.33,"A28229599 - MAPFRE VIDA, Prórroga de contrato"
11,63/19,Pólizas seguros 2020-2021,NaN,Servicios,NaN,2022-05-17,NaN,2023-05-31,547462.33,"A48001648 - SEGUROS BILBAO, Prórroga de contrato"
12,63/19,Pólizas seguros 2020-2021,NaN,Servicios,NaN,2022-05-17,NaN,2023-05-31,1094924.66,"A28141935 - MAPFRE ESPAÑA, Prórroga de contrato"
13,26/19,Soporte y mantenimiento software Wcronos y Wservic,NaN,Servicios,NaN,2022-06-07,NaN,2023-09-02,5673.64,"B47039276 - ABACO CENTRO DE ESTUDIOS INFORMATICOS S.L., Prórroga de contrato"
14,15/21,Mantenimiento Licencia Plyca,NaN,Servicios,NaN,2022-06-07,NaN,2023-07-06,39402.61,"A81727810 - NEXUS IT, Prórroga de contrato"
15,01/21,Proyecto Intervención Socio-Com Escuela Verano,NaN,Servicios,NaN,2022-05-31,NaN,2023-06-03,83353.05,"B54758735 - Filias Desarrollo Comunitario S.L., Prórroga de contrato"
16,32/21,Tasación Valor Suelo IIVTNU,NaN,Servicios,NaN,2022-07-12,NaN,2023-09-03,59846.6,"A03525508 - EUROVALORACIONES, S.A., Prórroga de contrato"
17,14/20,Dinamización y Animación Comercial,NaN,Servicios,NaN,2022-09-20,NaN,2023-11-23,66175.77,"B73405599 - Ebone Servicios Educación Deporte S.L., Prórroga de contrato"
18,10/20,Medidas sanitarias en viviendas y otros,NaN,Servicios,NaN,2022-07-26,NaN,2023-09-02,26771.7,"A03063963 - LOKIMICA SA, Prórroga de contrato"
19,33/19,Centro acogida e inserción personas sin hogar,NaN,Servicios,NaN,2022-09-13,NaN,2023-11-27,1208366.57,"G61878831 - FUNDACIÓN SALUD Y COMUNIDAD, Prórroga de contrato"
20,ALC-CONT-13/19,Suministro agua dependencias municipales.,NaN,Suministros,NaN,2022-08-16,NaN,2023-09-17,19993.6,"B06304984 - ACQUAJET SEMAE, S.L.U., Prórroga de contrato"
21,37/20,"Mediación, Asesoramiento C.V. Zona Norte",NaN,Servicios,NaN,2022-10-11,NaN,2023-12-17,111219.0,"B54758735 - Filias Desarrollo Comunitario S.L., Prórroga de contrato"
22,73/20,"Impresión, ensobrado y manipulado Rec. Tributaria",NaN,Servicios,NaN,2022-11-22,NaN,2023-12-31,54999.34,"B92621762 - CONSORCIO DE MANIPULADO Y SERVICIOS POSTALES, S.L., Prórroga de contrato"
23,28/19,Suministro material trabajos mantenimiento 4 lotes,NaN,Suministros,NaN,2022-11-22,NaN,2024-01-07,193600.0,"A28002335 - SOCIEDAD IBERICA DE CONSTRUCCIONES ELECTRICAS, S.A., Prórroga de contrato"
24,ALC-CONT-25/19,Mantenimiento instalaciones térmicas municipales,NaN,Servicios,NaN,2022-12-30,NaN,2024-01-02,165229.08,"B53648648 - Benesiu y Cantó S.L., Prórroga de contrato"
25,ALC-CONT-25/19,Mantenimiento instalaciones térmicas municipales,NaN,Servicios,NaN,2022-12-30,NaN,2024-01-30,52030.0,"B53045126 - HIJOS DE EMILIO GUIRAO S.L., Prórroga de contrato"
26,68/20,Talleres Formación Laboral Atención SocioSanitaria,NaN,Servicios,NaN,2022-12-30,NaN,2024-04-12,57707.6,"R0300400I - Obra Social Santa Luisa de Marillac-Hijas de la Caridad de San Vicente Paul, Prórroga de contrato"
27,15/22,Servicio Community Manager Redes Sociales Juventud,NaN,Servicios,NaN,2022-12-30,NaN,2023-07-31,9131.1,"B33947508 - TALENTO TRANSFORMACIÓN DIGITAL, S.L., Prórroga de contrato"
28,70/19,Actividades Prevención Conductas Adictivas ,NaN,Servicios,NaN,2022-12-20,NaN,2023-12-31,15300.0,"B53741815 - Auca Projectes Educatius S.L., Prórroga de contrato"
29,75/20,Gestión taller habilidades socio-laborales básicas,NaN,Servicios,NaN,2022-12-30,NaN,2024-05-02,48202.02,"R0300400I - Obra Social Santa Luisa de Marillac-Hijas de la Caridad de San Vicente Paul, Prórroga de contrato"
30,70/19,Actividades Prevención Conductas Adictivas ,NaN,Servicios,NaN,2022-12-27,NaN,2023-12-31,14700.0,"B53741815 - Auca Projectes Educatius S.L., Prórroga de contrato"
31,114/21,Publicidad Campaña Comunicación Tributaria ,NaN,Servicios,NaN,2022-12-30,NaN,2023-12-31,73205.0,"A62748348 - WESTERN DYNAMICS MEDIA AGENCIA DE MEDIOS, S.A., Prórroga de contrato"
32,72/20,Suministro carburante,NaN,Suministros,NaN,2022-12-30,NaN,2025-03-31,665500.0,"A25009192 - RED ESPAÑOLA DE SERVICIOS, S.A.U. (RESSA), Prórroga de contrato"
33,126/21,Feria del Libro 2022,NaN,Servicios,NaN,2022-12-30,NaN,2023-12-31,28919.0,"B93063279 - MAKYRE EVENTOS C2T, Prórroga de contrato"
34,132/21,Herramientas Gestión Tributos Oracle,NaN,Servicios,NaN,2022-12-30,NaN,2023-02-16,49966.74,"B17760299 - Avanttic Consultoría Tecnológica, S.L., Prórroga de contrato"
