,Num. Exp,Objeto Contrato,Organismo,Tipo de Contrato,Tipo Tramitación,Fecha Aprobación,Fecha Inicio,Importe,Causa/Justificación,Año
0,"9/2014
", RENOVACIÓN DE ACERAS Y MEDIANA EN LA CALLE TOMÁS AZNAR DOMENECH (ZONA 2) ,"ATENCIÓN URBANA
","Obras
","Abierto - Utilizando más de un criterio de adjudicación
",2015-06-30,2015-07-14,28523.15, Los informes que figuran como motivación del expediente ,2015
1,"2/2014
", PROYECTO DE REURBANIZACIÓN DE LA CALLE ITALIA Y OTRAS ,"COMERCIO, MERCADOS, SANIDAD Y CONSUMO
","Obras
","Negociado con publicidad
",2015-12-02,2015-02-19,, Conforme propuesta del  Director Facultativo de las obras que figura en informe de fecha 28/01/2015 ,2015
2,"1/2014
", PROYECTO DE REURBANIZACIÓN DE LA CALLE PORTUGAL ,"COMERCIO, MERCADOS, SANIDAD Y CONSUMO
","Obras
","Negociado con publicidad
",2015-12-02,2015-02-19,-10428.75, Modificación unidades de obra a propuesta Directores Facultativos según informe de fecha 03/02/2015  ,2015
3,"4/2015
"," OBRAS INCLUIDAS EN EL PROYECTO BASICO Y DE EJECUCIÓN DE ADECUACIÓN-REHABILITACIÓN TOTAL, TANTO ESTRUCTURAL COMO FUNCIONAL DEL CEIP MANJON CERVANTES DE ALICANTE. ","URBANISMO
","Obras
","Negociado con publicidad
",2015-10-15,2015-10-20,562433.18," Se autoriza a la mercantil de las obras principales a ejecutar las que se desprenden del ""Proyecto técnico modificado"" ",2015
4,"37/2015
"," EXPLOTACIÓN PROVISIONAL DE UN ESTACIONAMIENTO DE VEHÍCULOS, CON DESTINO PREFERENTE PARA SERVICIO DEL MERCADO CENTRAL, EN EL SOLAR DE LA ANTIGUA LONJA DE FRUTAS Y VERDURAS (CONCESIÓN ADMINISTRATIVA) ","TRÁFICO, TRANSPORTES Y COMUNICACIONES
","Especiales
","Abierto - Utilizando más de un criterio de adjudicación
",2015-06-30,2015-07-15,, Mejora del servicio  ,2015
5,"15/2015
", ACONDICIONAMIENTO ESCALERA Y JARDINERAS INSTITUTO JORGE JUAN. EXPTE 9/2015 ,"ATENCIÓN URBANA
","Obras
","Negociado sin publicidad
",2015-08-10,2015-10-21,2885.76, ,2015
6,"1/2014
", GESTIÓN INTEGRAL DEL CENTRO DE ACOGIDA E INSERCIÓN DE PERSONAS SIN HOGAR ,"ACCIÓN SOCIAL
","Gestión de Servicios públicos
","Abierto - Utilizando más de un criterio de adjudicación
",2016-06-09,2016-09-14,27918.0, Ampliación  de plazas de atención integral y cambio de paradigma en la atención y abordaje de la exclusión residencial grave ,2016
7,"12/2014
"," REMODELACIÓN Y MEJORA DE LAS ÁREAS DE SERVICIO DE LA PLAYA DE SAN JUAN EN LA AVDA. DE NIZA, TRAMO ENTRE LA AVENIDA DE BRUSELAS Y CALLE IRLANDA ","TRÁFICO, TRANSPORTES Y COMUNICACIONES
","Obras
","Negociado sin publicidad
",2016-03-05,2016-11-05,, Variaciones en diferentes unidades de obra contratada ,2016
8,"10/2015
", REHABILITACIÓN DEL EDIFICIO DE LA ANTIGUA ESTACIÓN DE AUTOBUSES ,"TRÁFICO, TRANSPORTES Y COMUNICACIONES
","Obras
","Abierto - Utilizando más de un criterio de adjudicación
",2016-02-02,2016-02-17,, por la necesidad de aprobar un proyecto modificado ,2016
9,"10/2015
", REHABILITACIÓN DEL EDIFICIO DE LA ANTIGUA ESTACIÓN DE AUTOBUSES ,"TRÁFICO, TRANSPORTES Y COMUNICACIONES
","Obras
","Abierto - Utilizando más de un criterio de adjudicación
",2016-05-31,2016-01-06,," por la necesidad de aprobar un proyecto modificado que previamente ha de ser supervisado , en virtud del art. 125 del  TRLCSP ",2016
