,Num. Exp,Objeto Contrato,Organismo,Tipo de Contrato,Tipo Tramitación,Importe,Estado,Causa,Año
0,"6/2015
", SERVICIO DE MEDIACIÓN E INTERVENCIÓN EN COMUNIDADES VECINALES DE LA ZONA NORTE ,COORDINACIÓN DE ÁREAS Y PROYECTOS ,Servicios ,"Anticipada
",,"Desierto
","por no presentar en plazo la documentación requerida
",2015
1,"3/2015
", CONCESIÓN DE SERVICIO PÚBLICO DEL MERCADILLO DOMINICAL DEL REBOLLEDO ,"COMERCIO, MERCADOS, SANIDAD Y CONSUMO ",Gestión de Servicios públicos ,"Ordinaria
",,"Desierto
","por falta de licitadores
",2015
2,"99/2015
", ASISTENCIA TÉCNICA A LA DIRECCIÓN FACULTATIVA DE LA OBRA DE REHABILITACIÓN DEL EDIFICIO DE LA ANTIGUA ESTACIÓN DE AUTOBUSES ,"TRÁFICO, TRANSPORTES Y COMUNICACIONES ",Servicios ,"Urgente
",,"Desierto
","por otros motivos
",2015
3,"1/2015
"," EJECUCIÓN DE OBRA DEL PROYECTO MODIFICADO DE FINALIZACIÓN DE LA EJECUCIÓN DE LAS OBRAS DE CONSTRUCCIÓN DEL OBSERVATORIO DE MEDIO AMBIENTE URBANO DE ALICANTE. COFINANCIADO POR LA COMISIÓN EUROPEA CON CARGO AL FEDER DENTRO DE LA INICIATIVA URBANA (URBAN) PREVISTA EN EL EJE 5 ""DESARROLLO SOSTENIBLE URBANO Y LOCAL"" DEL P.O. FEDER DE LA COMUNITAT VALENCIANA 2007-2013, CON EL LEMA ""UNA MANERA DE HACER EUROPA"" ",MEDIO AMBIENTE ,Obras ,"Ordinaria
",,"Desierto
","por falta de licitadores
",2015
4,"12/2017
", SERVICIO DE LIMPIEZA DE CENTROS ESCOLARES Y DEPENDENCIAS MUNICIPALES ,ATENCIÓN URBANA ,Servicios ,"Ordinaria
",,"Renuncia
","a la celebración del contrato
",2016
5,"1/2017
"," SERVICIO PARA LA GESTIÓN Y EJECUCIÓN TEMPORAL, EN LAS AULAS ESCOLARES DE LOS TALLERES DE PREVENCIÓN DE LAS DROGODPENDENCIAS QUE INTEGRAN EL PROGRAMA 12-16 DIRIGIDO A LOS CURSOS ESCOLARES DE 1º,2º,3º,4º DE LA ESO Y FPB1 ",ACCIÓN SOCIAL ,Servicios ,"Ordinaria
",,"Desierto
","por no presentar en plazo la documentación requerida
",2016
6,"11/2016
"," CONCESIÓN ADMINISTRATIVA POR LOTES PARA OTORGAR EL USO, DISFRUTE Y EXPLOTACIÓN DE CUATRO UNIDADES COMERCILES (PUESTOS Y CASETAS) EN LOS MERCADOS MUNICIPALES ","COMERCIO, MERCADOS, SANIDAD Y CONSUMO ",Especiales ,"Ordinaria
",,"Desierto
","por falta de licitadores
",2016
7,"2/2017
"," SERVICIO DE INSTALACIÓN, CONSERVACIÓN Y DESMONTAJE DEL ALUMBRADO ORNAMENTAL PARA LAS FIESTAS DE NAVIDAD, AÑO NUEVO Y REYES 2016-2017. ",COMERCIO Y MERCADOS ,Servicios ,Urgente,56960.0,"Desierto
","por otros motivos
",2016
8,"119/2017
", SERVICIO DE CAFETERIA EN EL RECINTO DEL PARQUE LO MORANT DE LA CIUDAD DE ALICANTE EXPTE. 59/17 ,"COMERCIO, HOSTELERÍA, INFRAESTRUCTURAS E INMIGRACIÓN ",Especiales ,"Ordinaria
",,"Desierto
","por falta de licitadores
",2017
9,"7/2017
", CONTRATO DE APROVECHAMIENTO EN LOS ESPACIOS LIBRES EXTERIORES E INTERIORES DE LAS INSTALACIONES DEPORTIVAS DEL AYUNTAMIENTO DE ALICANTE PARA LA INSTALACION DE PUBLICIDAD. EXPTE. 54/17 ,DEPORTES ,Especiales ,"Ordinaria
",,"Desierto
","por falta de licitadores
",2017
10,"11/2017
"," CONCESIÓN ADMINISTRATIVA PARA LA PRESTACIÓN DEL SERVICIO DE BAR-CAFETERÍA SITUADO EN EL CENTRO SOCIAL COMUNITARIO ""PLAYAS"" ",ACCIÓN SOCIAL ,Especiales ,"Ordinaria
",,"Desierto
","por otros motivos
",2017
11,"63/2017
"," SERVICIO DE CONSULTORÍA EN GESTIÓN E INVESTIGACIÓN SOCIAL EN EL MARCO DE LA ESTRATEGIA DE DESARROLLO URBANO SOSTENIBLE  INTEGRADO (EDUSI) AREA LAS CIGARRERAS, DEL MUNICIPIO DE ALICANTE, COFINANCIADO POR LA COMISIÓN EUROPEA CON CARGO AL FEDER DENTRO DEL EJE 13 ""ASISTENCIA TÉCNICA"" DEL PROGRAMA OPERTATIVO DE CRECIMIENTO SOSTENIBLE, PARA LA PROGRAMACIÓN 2014-2020. UNA MANERA DE HACER EUROPA. ",COORDINACIÓN DE PROYECTOS ,Servicios ,"Ordinaria
",,"Desierto
","por falta de licitadores
",2017
12,"4/2016
"," ADQUISICIÓN DE DOS FURGONETAS PARA LA UNIDAD CANINA, UNA CON KIT PATRULLA Y OTRA CON KIT CAMUFLADO. ",POLICÍA LOCAL ,Suministros ,"Ordinaria
",47990.55,"Desistimiento
","del procedimiento
",2017
